Num,AU,TI,DAT,JOUR,VOL,PG,A1,A2,A3,Fam.Taxon,Genus,Sp,col_inc,prev_pub,stud_type,spec_rep,light_source,cam_model,white_stdcam,white_stdspec,dark_std,soft_rep,specpix_avg,int_time,spec_angle,spec_dist,specpix_just,analysis_type,colmetric_def,metric_just,refl_fig,irrad_type,irrad_just,vis_mod,vis_mod_just,vis_mod_sp,vis_mod_sp_just,vis_mod_param,vis_mod_param_just,vis_mod_prevRef,analysis_type.detail,metric_type,vis_mod_type,vis_mod_qcatch,vis_mod_adapt,vis_mod_bkg,vis_mod_noise_type,vis_mod_density,vis_mod_noise_ratio,data,code
1,Baldassarre and Webster,Experimental evidence that extrapair mating drives asymmetrical introgression of a sexual trait,2013,Proceedings of the Royal Society B: Biological Sciences,280,20132175,DN,JO,DZ,Aves,Malurus,melanocephalus,1,1,1,0,0,NA,0,0,0,1,0,0,0,0,0,multiple,1,0,0,1,0,1,0,1,0,0,0,1,"tcs hue, sat, brightness","hue, satu, normalized brightness",tcs,0,0,0,NA,NA,NA,none,0
4,Salvaudon et al.,Outcomes of coinfection by two potyviruses: implications for the evolution of manipulative strategies,2013,Proceedings of the Royal Society B: Biological Sciences,280,20122959,DN,JO,DZ,"Eudicots, Cucurbitales",Cucurbita,pepo,1,0,2,NA,0,0,0,0,NA,1,0,NA,NA,NA,0,colorimetric,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANOVA/MANOVA,RGB 0 -255 values,NA,NA,NA,NA,NA,NA,NA,proc,0
6,Hancox et al.,Visual habitat geometry predicts relative morph abundance in the colourpolymorphic ornate rainbowfish,2013,Proceedings of the Royal Society B: Biological Sciences,280,20122377,DN,JO,DZ,"Actinopterygii, Atheriniformes",Rhadinocentrus,ornatus,1,0,3,1,0,1,1,0,0,1,0,0,0,0,0,colorimetric,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,PCA,RGB values/spectral index,NA,NA,NA,NA,NA,NA,NA,proc,0
8,Ng et al.,Correlation betweeen Anolis lizard dewlap phenotype and environmental variation indicates adaptive divergence of a signal important to sexual selection and species recognition,2013,Evolution,67,573-582,DN,JO,KU ,Reptilia,Anolis,distichus,1,0,1,1,1,NA,1,1,0,0,1,1,1,0,0,colorimetric,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,colourimetric,brightness,NA,NA,NA,NA,NA,NA,NA,none,0
10,Rode et al.,Why join groups? Lessons from parasite-manipulated Artemia,2013,Ecology Letters,16,493-501,DN,JO,KU,Branchiopoda,Artemia,spp.,1,1,2,NA,0,1,0,0,NA,1,0,NA,NA,NA,0,colorimetric,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured 'red intensity' from photos,red intensity,NA,NA,NA,NA,NA,NA,NA,none,0
11,Barrios-Miller and Siefferman,"Evidence that fathers, but not mothers, respond to mate and offspring coloration by favouring high-quality offspring",2013,Animal Behaviour,85,1377-1383,DN,JO,TW,Aves,Sialia,sialis,1,0,1,1,0,NA,0,0,0,0,0,0,1,0,0,colorimetric,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,colormetrics,"chroma, hue, brightness",NA,NA,NA,NA,NA,NA,NA,none,0
12,Riedstra et al.,"Increased exposure to yolk testosterone has feminizing effects in chickens, Gallus gallus domesticus",2013,Animal Behaviour,85,701-708,DN,JO,TW,Aves,Gallus,gallus,1,0,1,1,1,NA,0,0,0,0,1,0,0,0,0,colorimetric,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colormetrics,"chroma, hue, brightness",NA,NA,NA,NA,NA,NA,NA,none,0
15,Morgans and Ord,Natural selection in novel environments: predation selects for background matching in the body colour of a land fish,2013,Animal Behaviour,86,1241-1249,DN,JO,TW,"Actinopterygii, Perciformes",Alticus,arnoldorum,1,1,2,NA,1,1,1,1,NA,1,0,NA,NA,NA,1,colorimetric,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,colormetrics,"hue (red/green ratio), and brightness (avg RGB/255)",NA,NA,NA,NA,NA,NA,NA,proc,0
16,Butler and McGraw,Eggshell coloration reflects both yolk characteristics and dietary carotenoid history of female mallards,2013,Functional Ecology,27,1176-1185,DZ,RD,DN,Aves,Anas,platyrhynchos,1,0,1,1,1,NA,0,0,0,1,1,0,0,0,0,colorimetric,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colorimetric,brightness (total amount of reflected light) and saturation (proportion of reflectance within a specific portion of the spectrum),NA,NA,NA,NA,NA,NA,NA,proc,0
17,Campbell and Bischoff,Selection for a floral trait is not mediated by pollen receipt even though seed set in the population is pollen-limited,2013,Functional Ecology,27,1117-1125,DZ,RD,DN,"Eudicots, Asterales",Wahlenbergia,albomarginata,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,1,colorimetric,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colorimetric,reflectance ratio from blue to white (R440/R530),NA,NA,NA,NA,NA,NA,NA,none,0
18,Mizunuma et al.,The relationship between carbon dioxide uptake and canopy colour from two camera systems in a deciduous forest in southern England,2013,Functional Ecology,27,196-207,DZ,RD,DN,"Eudicots, Fagales",Quercus,robur,1,0,2,NA,NA,1,0,0,0,1,1,0,NA,NA,1,colorimetric,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,colorimetric,"RGB channel strength, hue",NA,NA,NA,NA,NA,NA,NA,proc,0
20,Butler and McGraw,"Immune function is related to adult carotenoid and bile pigment levels, but not to dietary carotenoid access during development, in female mallard ducks",2013,The Journal of Experimental Biology,216,2632 - 2640,DZ,RD,JO,Aves,Anas,platyrhynchos,1,0,1,1,1,NA,0,0,0,1,0,0,0,0,0,colorimetric,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colourimetric,"brightness (B1), saturation in the blue portion of the spectrum (S1B), and hue (H4b)",NA,NA,NA,NA,NA,NA,NA,none,0
24,Llandres et al.,Environmental and hormonal factors controlling reversible colour change in crab spiders,2013,The Journal of Experimental Biology,216,3886 - 3895,DZ,RD,JO,Arachnida,Thomisus,onustus,1,0,1,1,1,NA,0,0,1,0,1,1,1,1,1,colorimetric,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,colorimetric,"""color index"" (area under spectrum curve from 400-500nm)",NA,NA,NA,NA,NA,NA,NA,none,0
31,Vitousek et al.,Female plumage colour influences seasonal oxidative damage and testosterone profiles in a songbird,2013,Biology Letters,9,20130539,DZ,RD,KU,Aves,Hirundo,rustica,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,colorimetric,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colorimetric,brightness,NA,NA,NA,NA,NA,NA,NA,proc,0
34,Stevens et al,Colour change and camouflage in the horned ghost crab Ocypode ceratophthalmus,2013,Biological Journal of the Linnean Society,109,257-270,JO,DN,KU,Crustacea: Malacostraca,Ocypode,ceratophthalmus,1,1,2,NA,0,1,1,1,NA,1,0,NA,NA,NA,1,colorimetric,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brightness and hue comparison,"brightness, hue",NA,NA,NA,NA,NA,NA,NA,none,0
35,San-Jose et al.,Iridophores and not carotenoids account for chromatic variation of carotenoid-based coloration in common lizards (Lacerta vivipara).,2013,The American Naturalist,181,396-409,JO,DN,KU,Reptilia,Lacerta,vivipara,1,0,1,1,1,NA,1,1,0,1,1,0,0,0,0,colorimetric,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,colourimetric,"hue, carotenoid chroma",NA,NA,NA,NA,NA,NA,NA,proc,0
38,Rowe et al.,Lysozyme-associated bactericidal activity in the ejaculate of a wild passerine,2013,Biological Journal of the Linnean Society,109,92-100,JO,DN,RD,Aves,Meleagris,gallopavo,1,0,1,1,1,NA,1,1,0,1,1,0,1,0,0,colorimetric,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,correlations of metrics with other body parts,"brightness, hue, chroma, saturation",NA,NA,NA,NA,NA,NA,NA,none,0
39,Martin et al.,"Ultraviolet and carotenoid-based coloration in the viviparous lizard Zootoca vivipara (Squamata: Lacertidae) in relation to age, sex, and morphology",2013,Biological Journal of the Linnean Society,110,128-141,JO,DN,RD,Reptilia,Zootoca,vivipara,1,0,3,1,1,1,1,1,0,1,1,0,1,0,0,colorimetric,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,colormetric,"brightness, saturation and hue - yellow chroma",NA,NA,NA,NA,NA,NA,NA,none,0
42,San-Jose,Corticosterone regulates multiple colour traits in Lacerta [Zootoca] vivipara males,2013,Journal of Evolutionary Biology,26,2681-2690,KU,TW,DN,Reptilia,Lacerta,vivipara,1,1,2,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,1,colorimetric,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RGB,"saturation, brightness, hue",NA,NA,NA,NA,NA,NA,NA,raw,0
44,Romero-Diaz et al,Independent sources of condition dependency and multiple pathways determine a composite trait: lessons from carotenoid-based plumage colouration,2013,Journal of Evolutionary Biology,26,635-646,KU,TW,DN,Aves,Parus,major,1,0,3,1,1,1,1,1,1,1,1,0,1,0,1,colorimetric,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colourmetircs, segment analysis","bckground reflectanc, absolute caroteinoid chroma, UV-reflectance",NA,NA,NA,NA,NA,NA,NA,proc,0
46,Lim & Li,UV-green iridescence predicts male quality during jumping spider contests,2013,PLoS ONE,8,e59774,KU,TW,DZ,Arachnida,Cosmophasis,umbricata,1,1,1,1,0,NA,0,0,0,0,0,0,0,0,0,colorimetric,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colourmetrics,"UV intensity, Vis intensity, total intensity, UV hue, VIS hue, band separation",NA,NA,NA,NA,NA,NA,NA,none,0
51,Hanley et al,Forewing pigmentation predicts migration distance in wild-caught migratory monarch butterflies,2013,Behavioral Ecology,24,1108 -1113,KU,TW,RD,Lepitoptera,Danaus,plexippus,1,0,1,1,1,NA,1,1,0,0,0,0,1,0,1,colorimetric,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,colormetrics,"colormetrics: saturation, brightness",NA,NA,NA,NA,NA,NA,NA,none,0
54,Rahman et.al.,Condition-dependent expression of pre- and postcopulatory sexual traits in guppies,2013,Ecology and Evolution,3,2197-2213,RD,DZ,TW,"Actinopterygii, Cyprinodontiformes",Poecilia,reticulata,1,1,3,1,1,1,1,1,0,1,1,0,0,0,0,colorimetric,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colorimetric - PCA used to reduce the full spectra to brightness, hue, chroma","PCA - was used to reduce the full spectra to brightness, hue, chroma",NA,NA,NA,NA,NA,NA,NA,proc,0
58,Umbers et al.,Bright turquoise as an intraspecific signal in the chameleon grasshopper,2013,Behavioral Ecology and Sociobiology,67,439-447,TW,KU,RD,Orthoptera,Kosciuscola,tristis,1,1,1,1,0,NA,0,0,0,0,1,0,0,0,0,colorimetric,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colorimetric, hybrid custom visual model","Brightness (sum excitation), chroma, hue",NA,NA,NA,NA,NA,NA,NA,none,0
